Pos,fpl_id,Name,BV,SV,Team,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,4,5,2,2,2,2,2,2,2,2,0,0,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,1,2,2,2,1,1,2,1,1,2,0,2,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,2,6,7,7,8,9,9,11,11,10,9,10,0.0
D,5,Gabriel,5.0,4.9,Arsenal,91,88,85,83,82,81,81,78,78,79,77,77,0.87
M,6,Havertz,7.1,7.1,Arsenal,65,66,62,61,58,59,58,56,59,57,57,55,0.0
D,7,Holding,4.3,4.3,Crystal Palace,0,0,0,4,10,17,17,18,19,18,20,17,0.0
F,8,G.Jesus,8.0,8.0,Arsenal,77,74,72,73,72,71,72,70,69,69,70,68,0.0
M,9,Jorginho,5.3,5.3,Arsenal,24,21,20,17,14,15,17,17,17,16,17,15,0.0
D,10,Kiwior,4.3,4.3,Arsenal,27,28,17,20,20,20,21,22,20,19,15,14,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,69,66,67,64,62,61,60,60,62,61,60,59,0.01
F,13,Nketiah,5.2,5.2,Arsenal,17,20,21,19,21,22,22,22,23,22,25,24,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,86,86,84,82,80,80,80,80,78,79,79,80,0.06
M,15,Thomas,4.8,4.8,Arsenal,0,0,13,29,45,46,46,44,45,43,39,42,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.5,4.5,Arsenal,2,4,4,4,4,91,6,6,8,8,7,7,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,9.1,8.8,Arsenal,88,84,83,81,79,79,79,79,76,77,77,78,0.98
D,20,Saliba,5.6,5.6,Arsenal,92,88,86,84,82,81,82,80,80,80,81,80,0.35
M,21,Sambi,4.9,4.9,Luton,83,79,76,0,76,75,72,62,0,59,60,60,0.0
M,22,Smith Rowe,5.3,5.3,Arsenal,21,24,24,25,25,23,25,25,25,27,27,25,0.0
D,23,Tavares,4.0,4.0,Nott'm Forest,20,20,8,9,10,11,12,11,13,13,10,13,0.0
D,24,Tierney,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,0,19,56,55,56,57,57,57,53,53,49,47,0.0
M,26,Trossard,6.5,6.5,Arsenal,25,29,28,29,30,31,31,31,31,30,30,31,0.0
D,27,Trusty,3.9,3.9,Sheffield Utd,90,87,83,82,80,79,79,79,78,77,78,78,0.0
G,28,Turner,3.9,3.9,Nott'm Forest,75,74,73,73,72,69,70,68,65,70,66,66,0.13
D,29,White,5.6,5.6,Arsenal,90,82,74,71,70,70,71,64,63,61,58,59,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
