Pos,fpl_id,Name,BV,SV,Team,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,Elite%
F,1,Balogun,4.5,4.5,Arsenal,2,9,14,14,13,14,14,11,13,15,13,15,0.0
D,2,Cédric,4.0,4.0,Arsenal,0,0,0,1,2,2,2,1,1,2,2,2,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,5,6,6,7,8,7,9,9,9,10,9,9,0.0
D,5,Gabriel,4.9,4.9,Arsenal,72,68,75,73,71,72,71,69,71,70,68,70,0.57
M,6,Havertz,7.4,7.4,Arsenal,71,70,65,63,61,62,61,62,62,63,59,60,0.18
D,7,Holding,4.5,4.5,Arsenal,1,0,0,1,2,1,1,0,2,1,2,1,0.0
F,8,G.Jesus,7.9,7.9,Arsenal,0,30,74,74,74,73,73,71,73,73,72,72,0.0
M,9,Jorginho,5.5,5.5,Arsenal,22,26,19,21,22,23,22,25,24,25,25,25,0.0
D,10,Kiwior,4.4,4.4,Arsenal,35,15,19,21,24,25,25,25,26,24,26,26,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,8.0,8.0,Arsenal,79,78,73,71,70,69,67,67,67,66,69,69,0.43
F,13,Nketiah,5.6,5.6,Arsenal,59,29,16,16,18,18,18,17,15,16,15,16,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,87,86,84,83,82,82,82,81,81,79,81,80,0.12
M,15,Thomas,5.0,5.0,Arsenal,67,63,50,53,54,51,51,55,54,54,55,55,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,5.0,5.0,Arsenal,88,86,83,83,79,79,77,77,75,73,91,73,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,8.6,8.5,Arsenal,87,85,81,80,81,80,80,78,79,79,79,78,0.98
D,20,Saliba,5.2,5.1,Arsenal,90,88,86,83,82,80,82,81,80,81,80,80,0.44
M,21,Sambi,4.9,4.9,Arsenal,0,1,0,1,1,2,2,2,2,2,2,2,0.0
M,22,Smith Rowe,5.4,5.4,Arsenal,8,10,8,9,9,12,11,12,12,12,13,12,0.0
D,23,Tavares,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,24,Tierney,4.4,4.4,Arsenal,4,2,2,3,3,3,3,3,4,4,4,4,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,0,25,29,31,32,35,35,37,37,39,36,38,0.0
M,26,Trossard,6.8,6.8,Arsenal,33,34,28,29,31,30,31,31,32,32,32,32,0.0
D,27,Trusty,4.0,4.0,Sheffield Utd,22,23,25,24,25,27,30,28,30,30,32,30,0.0
G,28,Turner,4.0,4.0,Nott'm Forest,94,93,92,91,90,90,89,89,90,89,89,89,0.97
D,29,White,5.5,5.5,Arsenal,79,73,76,77,73,73,74,73,73,71,72,70,0.0
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,31,Zinchenko,4.9,4.9,Arsenal,59,74,75,75,73,72,73,72,70,70,72,71,0.0
D,32,Alex Moreno,5.0,5.0,Aston Villa,0,10,54,64,65,63,60,61,59,60,60,62,0.0
F,33,Archer,4.5,4.5,Aston Villa,2,70,69,68,66,65,65,64,67,64,64,64,0.6
M,34,Bailey,5.5,5.5,Aston Villa,68,62,57,55,53,52,51,53,52,50,52,50,0.0
M,35,Buendia,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,36,Cash,4.5,4.5,Aston Villa,79,76,74,71,73,72,71,70,68,67,69,68,0.01
D,37,Chambers,4.0,4.0,Aston Villa,17,19,14,13,13,14,16,16,17,17,17,18,0.0
M,38,Coutinho,5.9,5.9,Aston Villa,14,29,41,36,32,31,30,29,31,30,29,31,0.0
F,39,Davis,5.0,5.0,Aston Villa,0,1,1,1,0,1,0,1,1,1,0,2,0.0
M,40,Dendoncker,4.9,4.9,Aston Villa,4,6,8,10,11,11,12,13,12,12,12,14,0.0
D,41,Diego Carlos,4.5,4.5,Aston Villa,38,41,35,38,37,39,40,41,41,40,41,43,0.0
D,42,Digne,4.5,4.5,Aston Villa,75,66,38,31,30,31,33,33,34,33,34,31,0.0
M,43,Douglas Luiz,5.5,5.5,Aston Villa,79,76,75,73,71,70,67,67,67,69,67,66,0.0
F,44,Duran,5.0,5.0,Aston Villa,14,13,12,11,10,11,10,12,12,11,11,12,0.0
D,45,Hause,4.0,4.0,Aston Villa,0,2,2,2,1,2,2,3,3,3,3,3,0.0
M,46,Iroegbunam,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,47,Kamara,5.0,5.0,Aston Villa,75,73,72,67,66,65,65,63,65,63,64,63,0.0
D,48,Konsa,4.5,4.5,Aston Villa,84,82,80,80,78,78,77,77,78,77,78,76,0.0
G,49,Martinez,5.0,5.0,Aston Villa,93,93,92,91,91,91,91,91,91,92,91,91,0.0
M,50,McGinn,5.5,5.5,Aston Villa,79,77,73,68,65,65,66,66,63,65,64,65,0.0
D,51,Mings,4.4,4.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,52,Nakamba,4.5,4.5,Luton,84,82,78,78,76,74,76,75,74,73,73,73,0.01
G,53,Olsen,4.0,4.0,Aston Villa,2,2,3,4,4,4,4,3,4,3,4,4,0.0
M,54,Philogene,4.5,4.5,Aston Villa,21,15,9,6,5,4,6,5,5,5,5,5,0.0
M,55,J.Ramsey,5.9,5.9,Aston Villa,0,0,8,28,45,51,51,51,52,53,51,51,0.0
M,56,Sanson,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,58,Tielemans,5.9,5.9,Aston Villa,38,41,42,45,45,44,46,46,46,47,48,46,0.0
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,3,6,10,9,9,7,9,9,9,10,9,10,0.0
F,60,Watkins,8.0,8.0,Aston Villa,87,85,84,83,83,82,83,80,81,81,83,81,0.42
F,61,Wesley,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,62,Anthony,5.0,5.0,Bournemouth,38,34,33,32,29,26,25,25,26,27,27,26,0.0
M,63,Billing,5.4,5.4,Bournemouth,86,81,74,72,70,70,70,69,69,69,68,69,0.0
M,64,Brooks,5.0,5.0,Bournemouth,43,41,40,36,31,30,30,30,29,31,27,29,0.0
M,65,Christie,5.0,5.0,Bournemouth,61,57,57,52,48,45,46,46,45,46,44,46,0.0
M,66,L.Cook,5.0,5.0,Bournemouth,14,39,59,47,43,41,39,42,42,43,43,44,0.0
M,67,Siriki,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,68,Fredericks,4.5,4.5,Bournemouth,5,8,7,10,11,11,10,12,11,12,13,12,0.0
D,69,Hill,4.0,4.0,Bournemouth,1,0,3,3,3,4,5,4,4,4,5,5,0.0
D,70,Kelly,4.5,4.5,Bournemouth,67,80,79,75,75,74,74,73,74,72,71,70,0.0
M,71,Kilkenny,4.5,4.5,Bournemouth,20,11,4,2,3,3,3,3,3,3,3,3,0.0
M,72,Kluivert,4.9,4.9,Bournemouth,43,55,54,48,45,42,43,41,41,41,40,41,0.0
M,73,Lowe,4.9,4.9,Bournemouth,0,1,0,1,0,0,0,0,1,0,0,0,0.0
M,74,Marcondes,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,75,Mepham,4.4,4.4,Bournemouth,17,17,18,20,23,22,22,24,23,22,25,22,0.0
F,76,Moore,4.9,4.9,Bournemouth,14,18,19,18,20,18,19,19,20,21,19,20,0.0
G,77,Neto,4.5,4.5,Bournemouth,94,93,92,91,92,92,92,91,91,91,90,91,0.0
M,78,O.Dango,4.9,4.9,Bournemouth,0,0,7,19,30,37,37,37,37,35,39,35,0.0
M,79,Pearson,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,80,Randolph,4.0,4.0,Bournemouth,0,1,1,3,2,2,1,2,2,2,2,2,0.0
M,81,Rothwell,5.0,5.0,Bournemouth,67,44,26,17,19,17,17,19,17,19,20,19,0.0
F,82,Semenyo,4.5,4.5,Bournemouth,65,51,37,30,28,25,26,25,27,27,28,26,0.0
D,83,Senesi,4.4,4.4,Bournemouth,87,84,81,79,78,77,77,77,77,76,77,77,0.0
D,84,Smith,4.4,4.4,Bournemouth,18,33,43,41,42,40,44,39,40,42,40,43,0.0
F,85,Solanke,6.5,6.5,Bournemouth,85,80,79,76,74,75,74,73,74,71,74,74,0.0
M,86,Tavernier,5.4,5.4,Bournemouth,0,0,1,19,32,45,44,43,43,43,44,46,0.0
M,87,Hamed Traorè,4.9,4.9,Bournemouth,29,29,27,24,21,18,18,19,19,19,18,19,0.0
G,88,Travers,4.0,4.0,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,89,Zabarnyi,4.5,4.5,Bournemouth,82,78,78,76,73,74,71,71,72,71,70,72,0.0
D,90,Ajer,4.5,4.5,Brentford,26,21,26,25,26,26,28,26,26,28,27,24,0.0
G,91,Balcombe,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,92,Baptiste,4.5,4.5,Brentford,13,15,17,18,19,22,21,22,21,20,22,21,0.0
D,93,Bech,4.0,4.0,Brentford,4,4,5,7,7,8,8,8,8,7,8,10,0.0
M,94,Bidstrup,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,95,Canós,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,96,Collins,4.5,4.5,Brentford,58,47,52,56,57,59,58,59,60,62,59,61,0.0
G,97,Cox,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,98,Damsgaard,5.0,5.0,Brentford,39,40,42,42,43,43,42,43,43,43,43,42,0.0
M,99,Dasilva,4.9,4.9,Brentford,17,24,26,28,26,29,29,29,29,28,29,30,0.0
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,101,Flekken,4.5,4.5,Brentford,94,93,91,91,90,89,90,89,90,90,90,89,0.07
D,102,Goode,4.0,4.0,Brentford,0,0,0,0,1,1,2,0,1,1,1,0,0.0
D,103,Henry,4.6,4.6,Brentford,91,87,84,83,82,81,79,80,79,80,82,78,0.04
D,104,Hickey,4.5,4.5,Brentford,79,77,75,72,72,70,70,69,67,68,63,66,0.0
M,105,Janelt,5.5,5.5,Brentford,71,67,68,65,66,63,64,63,62,62,63,63,0.0
M,106,Jensen,5.4,5.4,Brentford,69,66,63,63,61,61,61,60,61,61,61,61,0.0
M,107,Lewis-Potter,4.9,4.9,Brentford,26,28,30,31,35,33,32,33,34,34,34,33,0.0
M,108,Mbeumo,6.7,6.6,Brentford,85,82,80,75,76,75,76,78,78,78,76,75,0.72
D,109,Mee,4.9,4.9,Brentford,54,77,74,75,73,72,70,72,69,69,72,70,0.0
M,110,Nørgaard,5.5,5.5,Brentford,77,74,72,70,70,69,67,67,68,68,65,67,0.0
M,111,Onyeka,4.9,4.9,Brentford,10,12,14,17,18,18,19,18,20,19,19,21,0.0
D,112,Pinnock,4.5,4.5,Brentford,85,80,75,73,70,71,72,69,71,70,69,70,0.0
G,113,Raya,4.9,4.9,Arsenal,7,9,12,12,16,16,18,18,20,22,0,22,0.0
D,114,Roerslev,4.5,4.5,Brentford,9,11,13,14,15,17,16,16,18,18,20,20,0.0
M,115,Schade,5.4,5.4,Brentford,55,56,56,54,55,52,53,53,53,55,53,55,0.0
G,116,Strakosha,4.0,4.0,Brentford,0,2,4,4,4,6,5,6,5,4,4,5,0.0
F,117,Toney,7.9,7.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,118,Trevitt,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,119,Wissa,6.1,6.1,Brentford,79,76,74,73,71,72,72,73,71,68,71,71,0.0
M,120,Yarmolyuk,4.5,4.5,Brentford,1,2,2,4,4,4,4,5,5,4,5,5,0.0
D,121,Zanka,4.5,4.5,Brentford,2,2,2,3,4,4,4,4,5,5,4,5,0.0
M,122,Adingra,5.0,5.0,Brighton,9,8,9,10,11,12,13,12,13,14,14,13,0.0
M,123,Alzate,4.4,4.4,Brighton,0,0,1,2,2,3,2,2,2,3,3,3,0.0
M,124,Ayari,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,125,Buonanotte,4.9,4.9,Brighton,32,31,29,30,31,32,33,34,32,32,34,34,0.0
M,126,Caicedo,5.0,5.0,Chelsea,82,80,78,76,76,74,73,72,72,69,70,69,0.0
F,127,Connolly,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,128,Dahoud,5.0,5.0,Brighton,59,67,68,72,72,71,71,70,68,68,67,68,0.0
D,129,Dunk,5.0,5.0,Brighton,91,90,88,87,87,85,85,85,84,85,84,85,0.01
M,130,Enciso,5.4,5.4,Brighton,10,25,41,41,42,40,40,43,40,42,40,41,0.0
D,131,Estupiñan,5.2,5.1,Brighton,89,86,85,82,79,80,80,78,78,77,78,77,0.99
F,132,Ferguson,6.0,6.0,Brighton,33,32,31,32,33,31,35,33,32,32,32,32,0.0
