Pos,fpl_id,Name,BV,SV,Team,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,1,2,3,2,2,2,2,2,0,0,0,0,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,3,2,3,3,3,1,1,1,1,2,1,1,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,0,0,2,7,9,9,9,10,10,9,10,9,0.0
D,5,Gabriel,5.0,4.9,Arsenal,91,87,85,83,82,81,80,79,78,78,77,77,0.87
M,6,Havertz,7.1,7.1,Arsenal,70,65,64,62,60,60,56,57,57,56,59,58,0.0
D,7,Holding,4.3,4.3,Crystal Palace,0,0,11,17,18,15,17,20,20,17,19,19,0.0
F,8,G.Jesus,7.9,7.9,Arsenal,31,71,69,67,66,66,66,63,65,65,64,63,0.0
M,9,Jorginho,5.3,5.3,Arsenal,41,26,29,28,24,20,21,21,22,21,21,20,0.0
D,10,Kiwior,4.3,4.3,Arsenal,17,15,19,18,19,20,18,18,18,16,15,15,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,71,68,66,66,64,62,63,63,63,62,63,63,0.01
F,13,Nketiah,5.2,5.2,Arsenal,20,19,19,19,20,21,20,21,21,23,21,20,0.0
M,14,Ødegaard,8.4,8.4,Arsenal,87,87,84,83,82,81,81,80,80,80,80,80,0.05
M,15,Thomas,4.8,4.8,Arsenal,0,0,0,12,24,38,43,46,40,41,42,43,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.5,4.5,Arsenal,2,3,4,4,92,6,7,6,7,8,7,7,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,9.0,8.7,Arsenal,90,86,85,83,83,81,80,80,81,80,80,81,0.97
D,20,Saliba,5.6,5.6,Arsenal,90,88,86,84,85,83,82,81,81,81,80,80,0.34
M,21,Sambi,4.9,4.9,Luton,83,80,0,77,75,71,61,0,64,63,63,63,0.0
M,22,Smith Rowe,5.3,5.3,Arsenal,32,26,27,27,26,25,26,26,25,26,25,25,0.0
D,23,Tavares,4.0,4.0,Nott'm Forest,46,24,22,21,21,23,23,22,24,25,24,24,0.0
D,24,Tierney,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,61,53,52,55,54,53,50,50,49,45,46,44,0.0
M,26,Trossard,6.5,6.5,Arsenal,31,26,29,27,28,29,29,29,28,29,30,28,0.0
D,27,Trusty,3.9,3.9,Sheffield Utd,88,85,83,80,79,76,75,77,77,76,75,75,0.0
G,28,Turner,3.9,3.9,Nott'm Forest,2,4,4,4,5,6,7,8,8,7,6,7,0.13
D,29,White,5.6,5.6,Arsenal,86,80,80,79,78,77,73,71,69,66,64,65,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,31,Zinchenko,5.2,5.2,Arsenal,34,55,57,55,54,53,51,47,44,43,43,44,0.08
D,32,Alex Moreno,5.1,5.1,Aston Villa,71,59,55,55,54,53,52,52,52,52,50,53,0.03
F,33,Archer,4.3,4.3,Sheffield Utd,21,22,24,24,27,29,29,30,29,28,30,29,0.06
M,34,Bailey,5.6,5.6,Aston Villa,61,62,59,57,57,56,55,55,54,55,52,53,0.0
M,35,Buendia,5.7,5.7,Aston Villa,0,0,0,0,0,0,0,0,0,6,15,18,0.0
D,36,Cash,4.6,4.6,Aston Villa,75,67,64,56,44,40,36,35,34,31,27,30,0.03
D,37,Chambers,3.8,3.8,Aston Villa,19,10,13,11,9,6,6,5,6,4,2,3,0.0
M,38,Coutinho,5.8,5.8,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,39,Davis,4.9,4.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,40,Dendoncker,4.9,4.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,41,Diego Carlos,4.4,4.4,Aston Villa,79,68,67,64,56,53,52,50,48,38,32,29,0.01
D,42,Digne,4.6,4.6,Aston Villa,26,40,43,42,42,41,43,42,43,42,42,39,0.01
M,43,Douglas Luiz,5.5,5.5,Aston Villa,83,82,82,81,79,79,77,78,76,75,77,77,0.12
F,44,Duran,5.0,5.0,Aston Villa,0,0,3,6,9,9,11,10,10,10,10,9,0.0
