Pos,fpl_id,Name,BV,SV,Team,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,6,11,14,12,13,13,14,12,11,12,12,13,0.0
D,2,Cédric,4.0,4.0,Arsenal,0,0,1,1,2,1,2,1,2,2,2,2,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,4,4,5,6,8,8,9,9,8,10,8,9,0.0
D,5,Gabriel,4.9,4.9,Arsenal,55,66,62,62,63,64,62,61,62,63,65,64,0.29
M,6,Havertz,7.4,7.4,Arsenal,65,61,60,60,60,61,61,58,58,60,59,58,0.12
D,7,Holding,4.4,4.4,Arsenal,0,0,0,0,0,0,0,2,1,1,0,1,0.0
F,8,G.Jesus,7.9,7.9,Arsenal,43,76,75,73,71,72,69,71,70,71,71,69,0.0
M,9,Jorginho,5.4,5.4,Arsenal,20,17,21,21,23,22,25,26,27,24,25,25,0.0
D,10,Kiwior,4.4,4.4,Arsenal,13,16,19,21,23,25,26,26,24,28,25,26,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,8.0,8.0,Arsenal,79,74,72,72,68,68,68,65,65,65,68,68,0.41
F,13,Nketiah,5.6,5.6,Arsenal,40,23,23,23,26,23,25,25,23,22,22,22,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,89,85,83,83,82,81,79,80,81,81,80,80,0.14
M,15,Thomas,4.9,4.9,Arsenal,68,60,61,61,60,60,61,61,60,62,60,61,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,5.0,5.0,Arsenal,68,62,62,59,58,61,57,55,54,90,52,52,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,8.7,8.6,Arsenal,87,85,81,81,80,81,78,79,77,78,77,78,0.98
D,20,Saliba,5.2,5.1,Arsenal,90,86,85,83,81,83,83,81,82,79,79,77,0.45
M,21,Sambi,4.9,4.9,Arsenal,0,0,1,1,2,2,2,2,3,3,3,3,0.0
M,22,Smith Rowe,5.4,5.4,Arsenal,5,6,8,10,10,11,12,12,13,11,12,12,0.0
D,23,Tavares,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,24,Tierney,4.4,4.4,Arsenal,2,2,3,3,3,3,3,4,3,3,4,4,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,24,27,30,32,34,33,33,33,35,35,34,38,0.0
M,26,Trossard,6.8,6.8,Arsenal,22,23,25,28,28,30,32,29,33,31,31,30,0.0
D,27,Trusty,4.0,4.0,Sheffield Utd,16,15,17,18,20,22,22,24,25,27,26,24,0.0
G,28,Turner,4.0,4.0,Nott'm Forest,93,92,91,90,89,89,88,88,88,88,88,89,0.97
D,29,White,5.5,5.5,Arsenal,80,81,79,76,74,74,74,74,73,73,73,74,0.0
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,31,Zinchenko,4.9,4.9,Arsenal,78,78,75,74,73,72,72,72,73,70,72,70,0.0
D,32,Alex Moreno,5.0,5.0,Aston Villa,13,55,65,64,62,61,64,61,61,61,62,62,0.0
F,33,Archer,4.5,4.5,Sheffield Utd,28,24,24,26,27,27,27,29,27,27,28,29,0.59
M,34,Bailey,5.5,5.5,Aston Villa,61,51,49,45,45,48,43,42,43,44,42,42,0.0
M,35,Buendia,5.8,5.8,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,36,Cash,4.5,4.5,Aston Villa,87,83,82,80,79,80,79,77,78,76,77,75,0.01
D,37,Chambers,4.0,4.0,Aston Villa,16,17,16,17,19,20,20,22,19,22,21,22,0.0
M,38,Coutinho,5.9,5.9,Aston Villa,9,24,21,19,19,19,20,21,21,22,21,22,0.0
F,39,Davis,5.0,5.0,Aston Villa,0,0,0,0,0,0,1,0,1,0,0,0,0.0
M,40,Dendoncker,4.9,4.9,Aston Villa,4,6,8,8,9,8,9,10,11,11,12,12,0.0
D,41,Diego Carlos,4.5,4.5,Aston Villa,52,50,47,50,53,51,50,52,53,51,51,53,0.0
D,42,Digne,4.5,4.5,Aston Villa,71,40,33,34,36,35,34,35,36,36,36,36,0.0
M,43,Douglas Luiz,5.5,5.5,Aston Villa,79,78,76,76,73,73,70,69,69,69,68,68,0.0
F,44,Duran,5.0,5.0,Aston Villa,10,8,9,9,9,9,10,10,10,10,9,9,0.0
D,45,Hause,4.0,4.0,Aston Villa,2,3,3,4,5,5,5,5,5,5,6,6,0.0
M,46,Iroegbunam,4.4,4.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,47,Kamara,5.0,5.0,Aston Villa,78,73,69,68,67,67,67,67,66,67,64,66,0.0
D,48,Konsa,4.5,4.5,Aston Villa,87,84,82,83,81,79,82,80,80,80,80,81,0.0
G,49,Martinez,5.0,5.0,Aston Villa,94,93,92,91,92,91,90,91,90,90,88,90,0.0
M,50,McGinn,5.5,5.5,Aston Villa,62,57,55,51,51,52,51,51,51,51,51,51,0.0
D,51,Mings,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,52,Nakamba,4.5,4.5,Luton,84,80,80,78,77,76,75,75,72,74,71,71,0.01
G,53,Olsen,4.0,4.0,Aston Villa,1,2,3,4,3,3,4,4,5,5,6,5,0.0
M,54,Philogene,4.5,4.5,Aston Villa,6,2,2,1,1,2,3,2,3,2,3,2,0.0
M,55,J.Ramsey,5.9,5.9,Aston Villa,0,7,18,33,37,38,39,40,39,40,41,38,0.0
M,56,Sanson,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,58,Tielemans,5.9,5.9,Aston Villa,25,24,28,26,29,28,28,30,29,31,30,31,0.0
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,3,3,3,4,3,4,5,5,4,5,4,5,0.0
F,60,Watkins,8.0,8.0,Aston Villa,87,85,84,83,82,81,82,81,81,79,81,81,0.14
F,61,Wesley,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,62,Anthony,4.9,4.9,Bournemouth,28,31,27,25,24,23,22,23,25,24,24,24,0.0
M,63,Billing,5.4,5.4,Bournemouth,83,80,78,75,76,76,74,75,74,74,73,73,0.0
M,64,Brooks,4.9,4.9,Bournemouth,37,38,34,33,30,31,28,29,28,30,31,29,0.0
M,65,Christie,5.0,5.0,Bournemouth,54,55,52,48,47,47,47,46,47,47,46,45,0.0
M,66,L.Cook,5.0,5.0,Bournemouth,48,70,68,66,65,63,62,61,60,60,62,63,0.0
M,67,Siriki,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,68,Fredericks,4.4,4.4,Bournemouth,7,8,8,9,10,12,12,11,12,12,12,11,0.0
D,69,Hill,4.0,4.0,Bournemouth,0,0,2,2,3,2,4,4,4,4,4,4,0.0
D,70,Kelly,4.5,4.5,Bournemouth,86,83,81,79,80,77,74,74,75,74,75,73,0.0
M,71,Kilkenny,4.5,4.5,Bournemouth,8,7,7,9,9,10,12,10,10,11,10,9,0.0
M,72,Kluivert,4.9,4.9,Bournemouth,59,58,53,49,46,47,46,46,44,46,46,47,0.0
M,73,Lowe,4.9,4.9,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,1,0.0
M,74,Marcondes,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,75,Mepham,4.4,4.4,Bournemouth,10,12,14,17,16,16,17,19,20,20,19,23,0.0
F,76,Moore,4.9,4.9,Bournemouth,14,17,17,19,17,19,19,20,20,20,18,21,0.0
G,77,Neto,4.5,4.5,Bournemouth,94,94,92,92,92,92,91,91,90,91,90,91,0.0
M,78,O.Dango,4.9,4.9,Bournemouth,0,7,20,29,32,31,34,34,36,34,36,35,0.0
M,79,Pearson,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,80,Randolph,4.0,4.0,Bournemouth,0,0,2,1,1,2,2,2,3,2,2,2,0.0
M,81,Rothwell,5.0,5.0,Bournemouth,55,40,40,41,39,42,42,43,45,44,43,46,0.0
F,82,Semenyo,4.5,4.5,Bournemouth,54,39,34,31,31,29,30,31,29,29,30,28,0.0
D,83,Senesi,4.4,4.4,Bournemouth,37,40,41,41,42,45,47,47,48,46,45,46,0.0
D,84,Smith,4.4,4.4,Bournemouth,33,45,43,42,43,44,46,41,45,43,43,41,0.0
F,85,Solanke,6.5,6.5,Bournemouth,85,80,79,75,76,74,73,73,73,73,74,72,0.0
M,86,Tavernier,5.4,5.4,Bournemouth,0,1,18,27,40,40,43,42,42,41,40,40,0.0
M,87,Hamed Traorè,4.9,4.9,Bournemouth,36,38,36,33,33,31,31,32,32,31,31,30,0.0
G,88,Travers,4.0,4.0,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,89,Zabarnyi,4.5,4.5,Bournemouth,88,85,84,83,81,80,78,79,77,78,79,77,0.0
D,90,Ajer,4.5,4.5,Brentford,28,21,23,23,25,26,27,27,27,28,26,27,0.0
G,91,Balcombe,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,92,Baptiste,4.5,4.5,Brentford,8,14,16,19,18,19,20,20,21,21,20,22,0.0
D,93,Bech,4.0,4.0,Brentford,5,4,4,5,6,8,7,9,8,9,10,8,0.0
M,94,Bidstrup,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,95,Canós,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,96,Collins,4.5,4.5,Brentford,67,50,54,56,58,58,59,61,61,61,62,61,0.0
G,97,Cox,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,98,Damsgaard,4.9,4.9,Brentford,32,40,41,41,42,42,42,43,42,42,41,42,0.0
M,99,Dasilva,4.9,4.9,Brentford,10,24,25,27,26,27,28,28,29,28,29,28,0.0
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,101,Flekken,4.5,4.5,Brentford,94,92,91,90,90,91,90,90,90,90,90,90,0.08
D,102,Goode,4.0,4.0,Brentford,0,0,0,0,1,0,0,1,1,1,1,1,0.0
D,103,Henry,4.6,4.6,Brentford,91,88,86,84,83,81,83,81,79,80,78,79,0.07
D,104,Hickey,4.5,4.5,Brentford,79,77,74,73,71,68,68,67,71,66,66,69,0.0
M,105,Janelt,5.5,5.5,Brentford,75,70,69,64,63,63,64,65,61,64,63,64,0.0
M,106,Jensen,5.4,5.4,Brentford,69,65,64,63,62,62,58,61,60,60,60,61,0.0
M,107,Lewis-Potter,4.9,4.9,Brentford,24,26,27,27,27,29,31,30,32,32,30,32,0.0
M,108,Mbeumo,6.7,6.6,Brentford,87,85,82,81,82,80,78,77,79,79,78,77,0.77
D,109,Mee,4.9,4.9,Brentford,39,76,73,74,73,71,69,69,69,67,69,70,0.0
M,110,Nørgaard,5.5,5.5,Brentford,77,70,69,69,68,67,67,66,66,67,66,63,0.0
M,111,Onyeka,4.9,4.9,Brentford,17,13,14,16,18,18,19,18,18,19,20,19,0.0
D,112,Pinnock,4.5,4.5,Brentford,87,79,76,75,72,73,72,71,70,69,69,69,0.01
G,113,Raya,4.9,4.9,Arsenal,27,33,33,36,37,34,38,40,41,0,43,43,0.0
D,114,Roerslev,4.5,4.5,Brentford,10,11,12,14,15,18,16,17,16,17,19,17,0.0
M,115,Schade,5.4,5.4,Brentford,58,57,59,56,58,57,58,54,56,56,56,55,0.0
G,116,Strakosha,4.0,4.0,Brentford,0,3,3,5,5,4,5,4,5,5,5,5,0.0
F,117,Toney,7.9,7.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,118,Trevitt,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,119,Wissa,6.2,6.2,Brentford,78,75,73,70,70,69,71,69,68,69,70,69,0.01
M,120,Yarmolyuk,4.4,4.4,Brentford,1,0,2,2,2,2,2,3,3,3,3,3,0.0
D,121,Zanka,4.5,4.5,Brentford,3,2,2,3,3,4,4,4,4,5,5,4,0.0
M,122,Adingra,5.0,5.0,Brighton,5,8,11,10,11,9,9,9,10,10,10,10,0.0
M,123,Alzate,4.4,4.4,Brighton,0,0,2,2,2,2,2,3,2,3,3,3,0.0
M,124,Ayari,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,125,Buonanotte,4.9,4.9,Brighton,27,29,32,32,28,26,29,28,30,28,28,28,0.0
M,126,Caicedo,5.0,5.0,Chelsea,82,81,77,75,77,75,74,74,73,71,73,73,0.0
F,127,Connolly,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,128,Dahoud,4.9,4.9,Brighton,41,55,62,61,60,59,61,60,59,58,56,57,0.0
D,129,Dunk,5.0,5.0,Brighton,92,89,88,87,85,86,85,85,84,82,84,84,0.01
M,130,Enciso,5.4,5.4,Brighton,0,0,0,5,20,36,38,39,39,42,40,41,0.0
D,131,Estupiñan,5.3,5.1,Brighton,90,86,82,80,81,80,77,78,76,77,78,76,0.99
F,132,Ferguson,5.9,5.9,Brighton,49,49,50,49,48,49,46,44,45,48,45,46,0.0
M,133,Gilmour,5.0,5.0,Brighton,57,54,49,50,48,48,49,46,50,47,48,49,0.0
M,134,Gross,6.4,6.4,Brighton,85,81,79,78,78,78,76,76,74,76,77,76,0.0
F,135,João Pedro,5.5,5.5,Brighton,62,58,56,54,51,50,46,49,48,48,47,47,0.17
D,136,Karbownik,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,137,Kozłowski,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,138,Lallana,4.9,4.9,Brighton,18,18,19,20,19,19,21,19,20,19,21,21,0.0
