Pos,fpl_id,Name,BV,SV,Team,18_xMins,19_xMins,20_xMins,21_xMins,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,4,7,10,11,13,13,13,15,12,15,13,14,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,1,2,4,5,5,6,6,6,7,6,7,6,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,0,0,0,2,11,14,17,16,15,17,17,15,0.0
D,5,Gabriel,4.9,4.8,Arsenal,90,88,86,83,83,81,80,80,81,81,80,80,0.81
M,6,Havertz,7.1,7.1,Arsenal,63,54,55,58,56,56,56,55,56,56,55,56,0.0
D,7,Holding,4.3,4.3,Crystal Palace,0,0,0,2,12,13,14,14,14,13,16,16,0.0
F,8,G.Jesus,8.0,8.0,Arsenal,73,71,67,70,68,68,67,67,68,67,67,68,0.0
M,9,Jorginho,5.3,5.3,Arsenal,24,37,35,35,35,38,36,37,37,37,38,38,0.0
D,10,Kiwior,4.3,4.3,Arsenal,29,34,39,42,42,43,44,42,45,43,44,43,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,73,70,69,66,68,67,66,66,64,65,64,65,0.06
F,13,Nketiah,5.4,5.4,Arsenal,18,21,24,25,25,24,25,26,26,25,25,25,0.0
M,14,Ødegaard,8.4,8.4,Arsenal,87,84,83,83,80,79,79,80,80,80,79,80,0.01
M,15,Thomas,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.6,4.6,Arsenal,2,3,3,4,5,6,8,7,7,8,90,8,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,9.0,8.7,Arsenal,89,86,83,80,79,79,78,77,77,77,77,77,0.9
D,20,Saliba,5.5,5.5,Arsenal,91,88,85,83,82,82,82,80,82,82,83,83,0.39
M,21,Sambi,4.9,4.9,Luton,55,51,50,54,56,53,52,50,49,50,54,53,0.0
M,22,Smith Rowe,5.3,5.3,Arsenal,13,17,19,19,19,17,19,20,18,18,19,21,0.0
D,23,Tavares,4.0,4.0,Nott'm Forest,4,4,5,6,0,7,8,8,8,8,8,9,0.0
D,24,Tierney,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,26,Trossard,6.5,6.5,Arsenal,35,38,41,40,39,39,40,40,39,40,39,39,0.0
D,27,Trusty,3.9,3.9,Sheffield Utd,60,68,65,50,51,50,51,52,51,50,51,50,0.0
G,28,Turner,3.9,3.9,Nott'm Forest,81,79,77,78,75,74,75,74,71,72,72,72,0.19
D,29,White,5.6,5.6,Arsenal,89,87,82,83,81,81,80,79,80,80,80,80,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,31,Zinchenko,5.2,5.2,Arsenal,76,74,72,71,71,71,70,71,71,71,70,70,0.09
D,32,Alex Moreno,5.0,5.0,Aston Villa,36,37,37,38,41,38,38,40,40,39,38,38,0.0
F,33,Archer,4.6,4.6,Sheffield Utd,73,70,72,66,64,64,66,64,64,63,63,64,0.54
M,34,Bailey,5.6,5.6,Aston Villa,61,58,57,50,49,48,49,46,45,47,47,46,0.0
M,35,Buendia,5.7,5.7,Aston Villa,0,0,0,0,0,0,3,11,18,21,21,22,0.0
D,36,Cash,4.7,4.7,Aston Villa,46,40,41,43,44,46,45,44,45,45,45,45,0.14
D,37,Chambers,3.9,3.9,Aston Villa,6,7,11,9,8,8,9,9,8,9,9,8,0.0
M,38,Coutinho,5.8,5.8,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,39,Davis,4.9,4.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,40,Dendoncker,4.9,4.9,Aston Villa,36,34,35,12,13,14,15,13,15,14,14,13,0.0
D,41,Diego Carlos,4.4,4.4,Aston Villa,82,78,76,72,72,73,72,71,71,72,73,73,0.0
D,42,Digne,4.7,4.7,Aston Villa,61,61,60,57,55,58,57,56,57,56,56,57,0.01
M,43,Douglas Luiz,5.5,5.5,Aston Villa,90,89,87,86,85,82,83,82,79,81,80,81,0.05
F,44,Duran,5.0,5.0,Aston Villa,3,5,7,6,7,7,6,6,5,5,6,7,0.0
D,45,Hause,3.9,3.9,Aston Villa,2,2,2,3,3,4,4,4,4,3,4,3,0.0
M,46,Iroegbunam,4.4,4.4,Aston Villa,5,5,7,1,2,2,2,2,3,2,2,2,0.0
M,47,Kamara,5.0,5.0,Aston Villa,0,0,0,78,76,75,74,75,74,71,73,72,0.0
D,48,Konsa,4.5,4.5,Aston Villa,86,83,81,80,79,77,79,80,79,77,78,77,0.03
G,49,Martinez,5.1,5.1,Aston Villa,94,93,92,91,91,92,91,91,92,92,92,92,0.01
M,50,McGinn,5.5,5.5,Aston Villa,83,68,66,70,71,71,71,71,71,71,71,70,0.0
D,51,Mings,4.1,4.1,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,52,Nakamba,4.4,4.4,Luton,86,83,80,81,80,78,77,75,74,71,69,71,0.01
G,53,Olsen,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,54,Philogene,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,55,J.Ramsey,5.9,5.9,Aston Villa,34,35,38,23,26,25,24,25,24,24,23,24,0.0
M,56,Sanson,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,58,Tielemans,5.6,5.6,Aston Villa,60,75,72,63,60,61,61,60,58,60,60,57,0.0
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,60,Watkins,8.7,8.5,Aston Villa,89,88,86,86,85,84,83,84,83,84,82,83,0.75
F,61,Wesley,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,62,Anthony,4.9,4.9,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,63,Billing,5.2,5.2,Bournemouth,54,56,53,52,53,53,50,50,51,49,49,49,0.0
M,64,Brooks,4.8,4.8,Bournemouth,5,7,7,8,7,8,8,8,8,8,8,9,0.0
M,65,Christie,5.0,5.0,Bournemouth,77,75,74,71,71,69,67,66,65,63,63,64,0.0
M,66,L.Cook,5.0,5.0,Bournemouth,82,80,76,75,73,68,66,63,64,66,62,62,0.0
M,67,Siriki,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,68,Fredericks,4.3,4.3,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,69,Hill,4.0,4.0,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,70,Kelly,4.5,4.5,Bournemouth,0,0,19,77,77,76,74,75,76,73,74,76,0.0
M,71,Kilkenny,4.3,4.3,Bournemouth,0,1,3,3,3,2,1,0,0,1,1,0,0.0
M,72,Kluivert,4.6,4.6,Bournemouth,55,54,54,55,51,52,51,51,50,51,52,51,0.0
M,73,Lowe,4.9,4.9,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,74,Marcondes,4.3,4.3,Bournemouth,0,0,1,2,2,2,1,2,2,1,2,2,0.0
D,75,Mepham,4.3,4.3,Bournemouth,35,34,30,14,16,16,16,19,19,19,19,18,0.0
F,76,Moore,4.7,4.7,Bournemouth,3,4,5,7,6,7,8,7,8,8,7,7,0.0
G,77,Neto,4.6,4.6,Bournemouth,93,92,90,90,91,90,89,89,89,88,88,89,0.0
M,78,O.Dango,4.7,4.7,Bournemouth,14,16,18,17,18,19,19,18,18,20,19,20,0.0
M,79,Pearson,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,80,Randolph,4.0,4.0,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,81,Rothwell,4.8,4.8,Bournemouth,10,13,16,17,13,13,8,7,5,6,6,6,0.0
F,82,Semenyo,4.6,4.6,Bournemouth,58,55,53,55,56,54,53,52,51,53,52,51,0.01
D,83,Senesi,4.4,4.4,Bournemouth,72,72,73,74,76,74,74,73,70,73,73,72,0.0
D,84,Smith,4.4,4.4,Bournemouth,58,53,40,33,36,36,35,35,36,37,38,37,0.0
F,85,Solanke,6.8,6.6,Bournemouth,90,88,87,83,83,81,81,81,80,80,80,81,0.67
M,86,Tavernier,5.4,5.4,Bournemouth,69,67,66,64,64,64,62,63,61,62,62,63,0.0
M,87,Hamed Traorè,4.7,4.7,Bournemouth,2,3,4,3,3,4,4,3,4,5,4,5,0.0
G,88,Travers,4.0,4.0,Bournemouth,2,2,5,5,4,5,6,6,6,6,6,6,0.0
D,89,Zabarnyi,4.4,4.4,Bournemouth,91,88,82,82,82,81,80,79,80,78,78,80,0.0
D,90,Ajer,4.5,4.5,Brentford,0,0,0,9,32,34,37,36,37,35,37,37,0.0
G,91,Balcombe,3.9,3.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,92,Baptiste,4.3,4.3,Brentford,0,51,41,31,21,19,19,20,20,20,21,23,0.0
D,93,Bech,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,94,Bidstrup,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,95,Canós,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,96,Collins,4.5,4.5,Brentford,0,84,81,63,53,51,51,52,50,52,49,51,0.0
G,97,Cox,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,98,Damsgaard,4.8,4.8,Brentford,0,53,48,43,35,28,25,23,25,26,26,25,0.0
M,99,Dasilva,4.7,4.7,Brentford,0,0,0,5,14,14,15,17,17,16,17,16,0.0
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,101,Flekken,4.5,4.5,Brentford,0,93,92,91,91,91,91,90,91,91,90,91,0.08
D,102,Goode,3.9,3.9,Brentford,0,11,14,3,1,1,2,1,2,2,2,1,0.0
D,103,Henry,4.3,4.3,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,104,Hickey,4.4,4.4,Brentford,0,0,0,15,58,71,76,76,77,75,76,75,0.0
M,105,Janelt,5.3,5.3,Brentford,0,73,73,68,65,64,64,64,64,64,65,63,0.0
