Pos,fpl_id,Name,BV,SV,Team,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,21_xMins,22_xMins,23_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,2,2,4,4,5,5,6,5,7,17,15,13,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,13,8,8,8,10,9,9,10,10,11,12,10,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,35,11,13,12,14,15,16,16,17,17,17,17,0.0
D,5,Gabriel,4.8,4.8,Arsenal,86,81,80,79,76,78,77,75,76,81,81,80,0.61
M,6,Havertz,7.1,7.1,Arsenal,75,36,39,38,41,39,41,42,39,44,45,43,0.0
D,7,Holding,4.3,4.3,Crystal Palace,2,5,6,8,8,10,11,10,14,11,12,11,0.0
F,8,G.Jesus,7.8,7.8,Arsenal,21,76,78,76,75,72,72,69,69,71,71,73,0.0
M,9,Jorginho,5.3,5.3,Arsenal,69,54,53,54,49,51,52,54,54,54,51,52,0.0
D,10,Kiwior,4.3,4.3,Arsenal,15,18,22,23,26,25,28,29,30,46,48,44,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,82,74,69,70,69,69,66,67,66,66,64,64,0.02
F,13,Nketiah,5.7,5.7,Arsenal,28,23,22,24,24,26,28,28,28,27,28,27,0.01
M,14,Ødegaard,8.4,8.4,Arsenal,7,82,79,79,77,78,79,78,77,77,78,77,0.03
M,15,Thomas,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.7,4.7,Arsenal,10,93,10,14,14,18,19,20,21,20,18,19,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,8.6,8.5,Arsenal,70,81,79,78,78,77,76,74,74,72,74,73,0.76
D,20,Saliba,5.3,5.1,Arsenal,90,88,85,84,81,82,82,82,81,80,80,80,0.08
M,21,Sambi,4.9,4.9,Luton,0,11,30,0,52,59,59,58,55,66,67,59,0.0
M,22,Smith Rowe,5.3,5.3,Arsenal,0,12,13,16,15,16,18,16,18,21,20,19,0.0
D,23,Tavares,4.0,4.0,Nott'm Forest,24,21,19,22,22,23,22,24,22,22,0,22,0.0
D,24,Tierney,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,34,51,53,53,55,57,56,54,56,0,0,13,0.0
M,26,Trossard,6.5,6.5,Arsenal,62,27,28,28,31,31,30,33,33,32,33,33,0.0
