Pos,fpl_id,Name,BV,SV,Team,27_xMins,28_xMins,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.8,3.8,Arsenal,2,1,0,0,1,0,0,0,0,0,0,1,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,1,0,0,1,0,1,2,1,2,1,2,2,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,7,8,0,8,9,10,10,10,9,10,10,11,0.0
D,5,Gabriel,5.3,5.0,Arsenal,91,90,0,82,80,81,78,78,77,76,76,75,0.93
M,6,Havertz,7.1,7.1,Arsenal,71,67,0,63,63,61,60,59,59,60,60,59,0.0
D,7,Holding,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,2,14,26,29,19,0.0
F,8,G.Jesus,7.8,7.8,Arsenal,20,46,0,53,56,59,61,63,62,65,64,65,0.0
M,9,Jorginho,5.3,5.3,Arsenal,41,37,0,34,33,31,30,31,30,31,30,29,0.0
D,10,Kiwior,4.3,4.3,Arsenal,77,52,0,31,27,23,22,23,24,23,24,24,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,73,68,0,65,65,62,63,62,62,61,62,60,0.01
F,13,Nketiah,5.1,5.1,Arsenal,24,18,0,18,20,19,20,21,18,19,19,20,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,86,84,0,83,82,80,80,79,79,79,79,80,0.06
M,15,Thomas,4.8,4.8,Arsenal,15,20,0,24,27,31,32,38,37,36,36,37,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.5,4.5,Arsenal,2,93,0,4,5,4,6,8,8,8,8,8,0.0
